,id_agence,nom_agence,addresse,telephone
0,67c189eb-f2fa-41fb-9083-4513e7805182,MOHAMED V,"SIDI RAHAL PLAGE - Sidi Rahal, Chatii ndeg 31 et 32",212580399828
1,36130b51-5faf-4887-9524-e8c38774c9be,BEN AHMED,"OUALIDIA - NAHJ HASSANI II, OUALIDIA",212599894683
2,c773d446-6bf7-4e6a-a13f-c2e30e972296,IBN KHALDOUNE,SIDI OUASSEL - ROUTE SIDI OUASSEL AVENUE BOUJDOUR SAFI,212503680716
3,7fde204e-b1a1-4d6d-8be4-c4a9a3fc34fb,TATA,OUMI RABII - Boulevard Mohamed V Ndeg 230 Azemmour 241000,212507532469
4,cc940aea-e7ca-4d72-84ab-c9f07db60abe,BEN AHMED,"OUALIDIA - NAHJ HASSANI II, OUALIDIA",212593685194
5,d9a295fd-9c1d-461a-801d-af46acf8e109,OULAD TEIMA,TAZNAKHT - CENTRE DE TAZNAKHT,212572123803
6,a3efe526-1721-4b8a-ab02-6fe712b7e5f5,HASSAN II,OUMI RABII - Boulevard Mohamed V Ndeg 230 Azemmour 241000,212536540461
7,62752d9e-d314-485d-bb0c-ad46f10d9745,MEDINA,IBN BATTOUTA - Avenue Ibn Battouta qurtier Bled El Jed Safi,212566393739
8,5bcd286c-65a4-4615-adbf-5418231c1df9,HAD OULAD FREJ,LIBERTE - AVENUE DE LA LIBERTE,212518887600
9,0d1140f2-4851-48aa-bde3-f4db3bae2f5b,ZAGORA,ZAGORA - AVENUE MOHAMMED V,212544255266
10,b3709785-30ed-4a11-9e62-a8478773dafb,ESSALAM,EL BROUJ - BOULEVARD MOHAMMED V,212592304321
11,7473a872-9918-4844-985d-df3e0a9fcc43,BEN AHMED,LALLA ZAHRA - Angle Avenue Echouhada et rue Churchil El Jadida,212555606308
12,89da6bcd-82ee-4cbe-9474-9258ae22accc,SIDI OUASSEL,HAD SOUALEM - ROUTE EL JADIDA LOT SAHEL .LOT 209.,212504165055
13,4b9febff-bf55-46a1-bbbe-b430f90857e6,DEROUA,TATA - BD MOHAMMED V,212501961949
14,b672ae2a-abfb-4cae-8751-77f905c93134,ZAOUIA,TISSIR - Bd Hassan II lotissement Halima lot Ndeg 1 Berrechid,212578455320
15,fae22153-6bb4-4462-992b-846779871388,NASSIM,ANNASR - 64 Quartier Moulhia El Jadida 24000,212579502363
16,94977247-29a9-41d4-9484-38dae7e5be50,MOHAMED V,OULAD TEIMA - OULAD TEIMA CENTRE,212537899392
17,cada7e9c-92a4-46ed-a321-75f8e21c7fa1,EL BROUJ,KHEMIS ZEMAMRA - ROUTE DE TNINE GHARBIA 24200 KH.ZEMAMRA,212516468394
18,02f2b85b-f680-4f08-826c-6098019dfe4e,SIDI RAHAL PLAGE,TAZNAKHT - CENTRE DE TAZNAKHT,212503207161
19,354441a2-2eea-49c8-a2ad-3ee9518c8fa6,BIADA,LIGUE ARABE - 7 Avenue Mohammed VI 24000 EL JADIDA,212579374000
20,fb932120-5cbc-49ff-b674-d9ce84ec62ef,KHEMIS ZEMAMRA,MOKHTAR SOUSSI (MRE) - AVENUE PRINCE HERITIER SIDI MED BP:44,212594032961
21,4b7c7974-599d-48b6-b41d-73bd733b324f,BIR ANZARANE,SIDI OUASSEL - ROUTE SIDI OUASSEL AVENUE BOUJDOUR SAFI,212534255313
22,fd874a12-7f4e-4ebf-aabd-efb4c3a84152,HASSAN II,TATA - BD MOHAMMED V,212577330579
23,9144301b-a654-4902-80b2-2416c6d7cc3c,L.HNIA HAMRIA,"OUALIDIA - NAHJ HASSANI II, OUALIDIA",212524602548
24,53236cdb-c98b-49d2-b079-eb47a9b53c27,KHEMIS ZEMAMRA,ESSALAM - Ndeg 77 quartier Essalam 24000,212585741202
25,23a66db2-fe6e-46ad-ab4e-2c283d157975,LIBERTE,L.HNIA HAMRIA - BD DRISS BEN NACER,212588112348
26,87c8d270-e99a-40d6-85ba-db121f02e2c6,M HAITA,EL BROUJ - BOULEVARD MOHAMMED V,212581843404
27,f46c4c06-ab7e-420c-b319-155f857959af,MOULAY DRISS 1er,"MOULAY DRISS 1er - 26, boulevard Kennedy, Safi",212533020334
28,d2976bfd-e319-4b86-a590-3fd85c9e54c8,MOULAY DRISS 1er,HAD OULAD FREJ - ROUTE SECONDAIRE Ndeg 105 24300 H.OULED FREJ,212589777861
29,724041f5-be4c-48b7-aaef-388e0a382dbb,OUALIDIA,ESSAFAA - 6 BOULEVARD MOHAMED V EL JADIDA,212578083841
