,id,type_instrument,valeur_actuelle,poids_portefeuille,date_evaluation
0,1,Actions,1250.5,0.15,2021-10-15
1,2,Obligations,2300.75,0.25,2021-10-15
2,3,Fonds immobiliers,1875.25,0.2,2021-10-15
3,4,Liquidites,1500.0,0.1,2021-10-15
4,5,Or,3000.8,0.3,2021-10-15
5,6,Actions,1275.75,0.12,2021-10-15
6,7,Obligations,2350.25,0.22,2021-10-15
7,8,Fonds immobiliers,1890.0,0.18,2021-10-15
8,9,Liquidites,1550.1,0.09,2021-10-15
9,10,Or,3050.0,0.27,2021-10-15
10,11,Actions,1300.25,0.14,2021-10-15
11,12,Obligations,2400.5,0.23,2021-10-15
12,13,Fonds immobiliers,1925.75,0.19,2021-10-15
13,14,Liquidites,1600.5,0.08,2021-10-15
14,15,Or,3100.25,0.26,2021-10-15
15,16,Actions,1325.5,0.13,2021-10-15
16,17,Obligations,2450.25,0.21,2021-10-15
17,18,Fonds immobiliers,1945.25,0.17,2021-10-15
18,19,Liquidites,1650.75,0.07,2021-10-15
19,20,Or,3150.5,0.25,2021-10-15
20,21,Actions,1350.75,0.11,2021-10-15
21,22,Obligations,2500.0,0.24,2021-10-15
22,23,Fonds immobiliers,1975.0,0.16,2021-10-15
23,24,Liquidites,1700.0,0.06,2021-10-15
24,25,Or,3200.75,0.24,2021-10-15
25,26,Actions,1375.0,0.09,2021-10-15
26,27,Obligations,2550.25,0.25,2021-10-15
27,28,Fonds immobiliers,1990.25,0.15,2021-10-15
28,29,Liquidites,1750.25,0.05,2021-10-15
29,30,Or,3250.0,0.23,2021-10-15
30,31,Actions,1400.25,0.08,2021-10-15
31,32,Obligations,2600.5,0.26,2021-10-15
32,33,Fonds immobiliers,2025.75,0.14,2021-10-15
33,34,Liquidites,1800.5,0.04,2021-10-15
34,35,Or,3300.25,0.22,2021-10-15
35,36,Actions,1425.5,0.07,2021-10-15
36,37,Obligations,2650.25,0.27,2021-10-15
37,38,Fonds immobiliers,2045.25,0.13,2021-10-15
38,39,Liquidites,1850.75,0.03,2021-10-15
39,40,Or,3350.5,0.21,2021-10-15
40,41,Actions,1450.75,0.06,2021-10-15
41,42,Obligations,2700.0,0.28,2021-10-15
42,43,Fonds immobiliers,2075.0,0.12,2021-10-15
43,44,Liquidites,1900.0,0.02,2021-10-15
44,45,Or,3400.75,0.2,2021-10-15
45,46,Actions,1475.0,0.05,2021-10-15
46,47,Obligations,2750.25,0.29,2021-10-15
47,48,Fonds immobiliers,2090.25,0.11,2021-10-15
48,49,Liquidites,1950.25,0.01,2021-10-15
49,50,Or,3450.0,0.19,2021-10-15
