,atm_id,localisation,informations
0,217a5268-5bbf-4b80-8a51-5486ce036cb0,"4, rue Pelletier",
1,48428 Olivierdan,Ouvrage defendre but reel traiter.,
2,dae889ff-65a3-4fd5-a67c-700175c3ead8,rue Georges,
3,06673 Rousseauboeuf,Soir danger venir personne peur.,
4,cefded98-b7a3-4c28-af05-e2ae7f790c39,"680, avenue Luc Guillaume",
5,77736 ColasBourg,Surprendre engager servir rapidement.,
6,4898fa2d-2db3-40ee-9a73-147d1a0fd848,"69, rue de Gauthier",
7,44775 Saint Michele-les-Bains,Appartement ecouter abattre arreter respirer abattre.,
8,f9391140-65fd-4594-92ee-0ece5d7e92fd,"105, rue Aubert",
9,31424 Sainte Robert,Signer promener passe etat loi chaise loi.,
10,1af858ba-69ec-482d-aa74-f3b9d98b0e3c,"45, chemin Amelie Marchal",
11,14218 Saint Noeldan,Calme durer avec couter froid tu poussiere.,
12,e78c4c94-c889-43a7-9c01-b48a57aa0c0e,"3, boulevard de Chauvin",
13,24137 Saint MargueriteBourg,Regarder recueillir relation notre.,
14,b91aabe3-9481-4048-8cdf-0bca566e6b77,"66, rue Alexandrie Renault",
15,88250 Chevallier,Signifier pouvoir bete hiver.,
16,67ad9323-cb01-48a7-ae82-43d2491d8a18,"95, avenue de Mathieu",
17,85827 Leclercq-sur-Pages,Reveler suivre milieu glisser.,
18,98c0e47f-1cd5-4b72-9928-9e6df47b4cee,boulevard Josette Henry,
19,22249 GerardBourg,Elle reste plaire absolument soldat.,
20,d8d4c99b-a4d7-4c41-a414-9acbf43ff324,"435, chemin Jacquet",
21,42527 Fournier,Vent attention mer or million goutte pousser.,
22,222fdc81-05f9-40a0-b781-4e9065b7486d,"71, rue de Brunel",
23,38808 Turpin,Ca patron decrire montrer attendre.,
24,c38236be-430b-4689-9c90-7dde05794e64,"92, chemin de Pichon",
25,28565 LambertVille,Pouvoir discours travailler selon autre.,
26,656eaa01-54c4-41c9-bf3c-d53991a54cf7,"60, avenue Morvan",
27,18272 Roger,Separer dresser esprit retourner reste visible.,
28,fe9edbb7-7614-43cf-947a-0e2f5eb224ad,"7, boulevard de Dos Santos",
29,82705 Sainte Christinedan,Conversation justice drole experience.,
30,08d08b4b-2eff-4869-aa37-e297658be5f1,"669, chemin Marcelle Gimenez",
31,18764 Grondin,Dont voix intelligence garder.,
32,13049e19-2acb-45d6-94a7-74e0292038b5,"65, chemin Nicole Lopez",
33,66336 Sainte Colette,Mener siege vetir ni vers bon.,
34,2c15fa40-a87e-4af7-999b-fcfe627f326d,"70, rue Frederique Perez",
35,56567 Sainte PierreVille,Livrer prendre tout president prix verser apres.,
36,48aba7b2-738d-432d-a7b3-bc290bf4a4da,"671, boulevard Dorothee Berthelot",
37,75794 Gauthier-les-Bains,Ici branche mensonge travers un jeu ne continuer.,
38,1ef23ac0-ea2a-4d90-9fea-0c6a0acc4e33,"93, chemin de Pinto",
39,10758 Goncalves-sur-Guillaume,Droit conseil facon salle traverser.,
40,3907d726-2fcf-4ab1-8891-6bc3a9df58ff,"3, chemin Lefevre",
41,49539 Dupre,Gauche parler voisin police bout compter sol.,
42,e85e558b-bab6-4902-af53-ee5d064a3559,"36, boulevard Delorme",
43,80839 Lelievre-sur-Mer,Somme marquer cerveau partir veille songer.,
44,a24207dd-d4de-4efb-bf9b-9e686608ded8,"837, rue de Regnier",
45,97624 LambertBourg,Comment servir dautres rester vers sourd cours.,
46,c3394045-c569-43e3-81d1-9f032abaa582,"92, chemin Faivre",
47,09809 Lesage,Plaire croix plaine chat terme pain.,
48,68ad72c9-628f-4946-bfdb-28da7645eb61,avenue Berger,
49,69480 Fouquet,Emotion durant tapis accomplir cheval.,
