,id,devise_achetee,devise_vendue,montant_achat,montant_vente
0,1,Euro,Dirham marocain,11.23,10.78
1,2,Dollar americain,Dirham marocain,9.65,9.12
2,3,Livre Sterling,Dirham marocain,13.42,12.95
3,4,Yen japonais,Dirham marocain,0.087,0.082
4,5,Dollar canadien,Dirham marocain,7.31,6.95
5,6,Franc suisse,Dirham marocain,10.2,9.75
6,7,Dollar australien,Dirham marocain,6.93,6.52
7,8,Yuan chinois,Dirham marocain,1.42,1.37
8,9,Riyal saoudien,Dirham marocain,2.56,2.44
9,10,Rand sud-africain,Dirham marocain,0.62,0.58
10,11,Real bresilien,Dirham marocain,1.87,1.78
11,12,Peso mexicain,Dirham marocain,0.48,0.45
12,13,Shekel israelien,Dirham marocain,3.05,2.93
13,14,Rouble russe,Dirham marocain,0.13,0.12
14,15,Won sud-coreen,Dirham marocain,0.0085,0.0079
15,16,Couronne suedoise,Dirham marocain,1.12,1.08
16,17,Franc CFA,Dirham marocain,18.22,17.65
17,18,Livre Egyptienne,Dirham marocain,0.58,0.55
18,19,Dinar tunisien,Dirham marocain,3.25,3.08
19,20,Peso argentin,Dirham marocain,0.12,0.11
20,21,Dollar neo-zelandais,Dirham marocain,6.62,6.28
21,22,Ringgit malaisien,Dirham marocain,2.27,2.15
22,23,Baht thailandais,Dirham marocain,0.31,0.29
23,24,Dollar hongkongais,Dirham marocain,1.24,1.18
24,25,Kuna croate,Dirham marocain,1.51,1.46
25,26,Dirham des emirats arabes unis,Dirham marocain,2.62,2.5
26,27,Zloty polonais,Dirham marocain,2.59,2.48
27,28,Livre turque,Dirham marocain,1.23,1.18
28,29,Roupie indienne,Dirham marocain,0.12,0.11
29,30,Lev bulgare,Dirham marocain,5.36,5.12
30,31,Koruna tcheque,Dirham marocain,0.48,0.46
31,32,Forint hongrois,Dirham marocain,0.032,0.03
32,33,Leu roumain,Dirham marocain,2.02,1.95
33,34,Dirham marocain,Euro,0.093,0.09
34,35,Dinar algerien,Dirham marocain,0.075,0.07
35,36,Diam,Dirham marocain,0.012,0.011
36,37,Bitcoin,Dirham marocain,48739.21,48215.47
37,38,Brent,Dirham marocain,83.41,81.55
38,39,Cacao,Dirham marocain,0.013,0.012
39,40,Cuivre,Dirham marocain,8.52,8.17
40,41,Petrole,Dirham marocain,67.25,65.31
41,42,Platine,Dirham marocain,1232.65,1206.31
42,43,Sucre,Dirham marocain,0.034,0.032
43,44,Argent,Dirham marocain,806.47,792.68
44,45,Or,Dirham marocain,53871.63,53245.21
45,46,Aluminium,Dirham marocain,2.15,2.07
46,47,Fer,Dirham marocain,5.38,5.12
47,48,Bois,Dirham marocain,0.473,0.457
48,49,Etain,Dirham marocain,2510.63,2478.31
49,50,Plomb,Dirham marocain,1.45,1.39
