,devise,montant_dh,date_operation,type_operation
0,Euro,11230,2022-10-15,Achat
1,Dollar americain,9200,2022-10-14,Vente
2,Livre sterling,12600,2022-10-14,Achat
3,Yen japonais,8450,2022-10-13,Vente
4,Franc suisse,10780,2022-10-12,Achat
5,Dollar canadien,7320,2022-10-11,Vente
6,Yuan chinois,6320,2022-10-11,Achat
7,Riyal saoudien,2020,2022-10-10,Vente
8,Dirham emirati,3210,2022-10-10,Achat
9,Rouble russe,5200,2022-10-09,Vente
10,Dinar algerien,960,2022-10-09,Achat
11,Rand sud-africain,8900,2022-10-08,Vente
12,Kuna croate,3650,2022-10-07,Achat
13,Baht thailandais,1100,2022-10-06,Vente
14,Real bresilien,4550,2022-10-06,Achat
15,Peso mexicain,7850,2022-10-05,Vente
16,Shekel israelien,2860,2022-10-05,Achat
17,Ringgit malaisien,1790,2022-10-04,Vente
18,Pula botswanais,6700,2022-10-04,Achat
19,Won sud-coreen,5520,2022-10-03,Vente
20,Krona suedoise,8200,2022-10-03,Achat
21,Forint hongrois,4560,2022-10-02,Vente
22,Kwanza angolais,3200,2022-10-01,Achat
23,Dinar tunisien,1250,2022-09-30,Vente
24,Hryvnia ukrainien,2160,2022-09-30,Achat
25,Roupie indienne,9500,2022-09-29,Vente
26,Lira turque,6100,2022-09-29,Achat
27,Lempira hondurien,3950,2022-09-28,Vente
28,Lev bulgare,4210,2022-09-28,Achat
29,Colon costaricain,1420,2022-09-27,Vente
30,Cordoba nicaraguayen,2980,2022-09-27,Achat
31,Kwacha zambien,7200,2022-09-26,Vente
32,Tugrik mongol,5300,2022-09-26,Achat
33,Real bresilien,6350,2022-09-25,Vente
34,Peso argentin,7890,2022-09-25,Achat
35,Baht thailandais,2040,2022-09-24,Vente
36,Dollar australien,2760,2022-09-24,Achat
37,Huf hongrois,3280,2022-09-23,Vente
38,Kuna croate,4780,2022-09-23,Achat
39,Ringgit malaisien,2900,2022-09-22,Vente
40,Krona suedoise,8200,2022-09-22,Achat
41,Won sud-coreen,5520,2022-09-21,Vente
42,Krona suedoise,10780,2022-09-21,Achat
43,Dirham marocain,1000,2022-09-20,Vente
44,Franc suisse,5750,2022-09-20,Achat
