,id,montant_disponible,taux_interet,duree_remboursement,date_octroi
0,1,50000.0,5.2,36,2021-04-15
1,2,75000.0,6.1,48,2020-12-20
2,3,30000.0,4.8,24,2021-07-10
3,4,100000.0,7.3,60,2021-09-05
4,5,40000.0,5.5,36,2019-11-30
5,6,80000.0,6.7,48,2020-02-18
6,7,60000.0,5.9,42,2021-03-25
7,8,90000.0,6.5,54,2019-08-10
8,9,25000.0,4.5,18,2020-10-12
9,10,120000.0,7.8,72,2020-06-08
10,11,45000.0,5.3,30,2021-01-15
11,12,70000.0,6.0,45,2020-04-20
12,13,35000.0,4.9,27,2021-08-17
13,14,110000.0,7.5,66,2019-12-10
14,15,50000.0,5.2,36,2020-02-15
15,16,75000.0,6.1,48,2021-06-20
16,17,30000.0,4.8,24,2020-11-10
17,18,100000.0,7.3,60,2021-08-05
18,19,40000.0,5.5,36,2020-05-30
19,20,80000.0,6.7,48,2021-01-18
20,21,60000.0,5.9,42,2020-10-25
21,22,90000.0,6.5,54,2021-05-10
22,23,25000.0,4.5,18,2020-09-12
23,24,120000.0,7.8,72,2021-11-08
24,25,45000.0,5.3,30,2020-12-15
25,26,70000.0,6.0,45,2021-04-20
26,27,35000.0,4.9,27,2020-08-17
27,28,110000.0,7.5,66,2021-02-10
28,29,50000.0,5.2,36,2020-07-15
29,30,75000.0,6.1,48,2021-09-20
30,31,30000.0,4.8,24,2020-04-10
31,32,100000.0,7.3,60,2021-11-05
32,33,40000.0,5.5,36,2020-02-28
33,34,80000.0,6.7,48,2021-07-18
34,35,60000.0,5.9,42,2020-09-25
35,36,90000.0,6.5,54,2021-02-10
36,37,25000.0,4.5,18,2020-05-12
37,38,120000.0,7.8,72,2021-10-08
38,39,45000.0,5.3,30,2020-03-15
39,40,70000.0,6.0,45,2021-05-20
40,41,35000.0,4.9,27,2020-09-17
41,42,110000.0,7.5,66,2021-03-10
42,43,50000.0,5.2,36,2020-10-15
43,44,75000.0,6.1,48,2021-01-20
44,45,30000.0,4.8,24,2020-05-10
45,46,100000.0,7.3,60,2021-06-05
46,47,40000.0,5.5,36,2020-01-30
47,48,80000.0,6.7,48,2021-08-18
48,49,60000.0,5.9,42,2020-06-25
49,50,90000.0,6.5,54,2021-03-10
