,id,produit,type,conditions,avantages
0,1,Pret automobile,Credit,Taux dinteret fixe de 5% pour une duree de remboursement de 5 ans.,Pas de frais de dossier
1,2,Carte bancaire Internationale,Carte,"Frais annuels de 200 DH, plafond de retrait mensuel de 20 000 DH.",Assurance voyage incluse
2,3,Assurance habitation,Assurance,"Couverture incendie, vol, et degats des eaux.",Assistance 24h/24
3,4,Compte Epargne Jeune,Compte,"Taux dinteret attractif de 3%, accessible aux moins de 25 ans.",Exoneration de frais de tenue de compte
4,5,Pret Immobilier,Credit,"Duree de remboursement jusqua 25 ans, taux fixe de 4.5%.",Possibilite de report decheances
5,6,Assurance Auto,Assurance,"Couverture tous risques, assistance depannage et remorquage.",Vehicule de remplacement en cas de panne
6,7,Livret dEpargne,Compte,"Disponible a partir de 500 DH, taux dinteret progressif.",Possibilite de retrait a tout moment
7,8,Pret Etudiant,Credit,"Pas de garantie parentale requise, taux avantageux pour les etudiants.",Report de remboursement apres lobtention du diplome
8,9,Securite Internet,Service,Systeme de protection contre la fraude en ligne.,Acces a des outils de prevention
9,10,Compte Courant Classique,Compte,Frais de tenue de compte de 20 DH par mois.,Acces aux services bancaires en ligne
10,11,Assurance Sante,Assurance,"Couverture hospitalisation, medecine generale et specialiste.",Remboursement rapide des frais medicaux
11,12,Pret Personnel,Credit,"Montant jusqua 100 000 DH, remboursement mensuel fixe.",Pas de justificatif dutilisation des fonds
12,13,Assurance Voyage,Assurance,"Couverture mondiale, rapatriement medical inclus.",Indemnites en cas de retard de vol
13,14,Livret Jeune,Compte,"Reserve aux moins de 25 ans, taux dinteret bonifie.",Acces a des offres jeunesse et reductions
14,15,Credit Renouvelable,Credit,"Montant disponible jusqua 50 000 DH, remboursement flexible.",Possibilite de reconstituer le credit rembourse
15,16,Assurance Emprunteur,Assurance,Garantit le remboursement du credit en cas de deces ou invalidite.,Prise en charge des mensualites en cas de sinistre
16,17,Carte Prepayee,Carte,"Rechargeable, sans engagement avec plafond de depenses.",Controle des depenses et securite en ligne
17,18,Epargne Retraite,Compte,Versements mensuels pour constituer une rente a la retraite.,Deduction fiscale sur les cotisations
18,19,Pret Travaux,Credit,"Financer des travaux jusqua 300 000 DH, deblocage progressif des fonds.",Frais de dossier offerts
19,20,Assurance Multirisque Professionnelle,Assurance,"Protege votre activite des risques lies au local, au materiel et a la responsabilite civile.",Indemnisation rapide en cas de sinistre
20,21,Credit Bail Equipement,Credit,"Financement pour lequipement professionnel, loyer mensuel fixe.",Possibilite dacquerir le bien a la fin du contrat
21,22,Compte Entreprise,Compte,"Gestion de tresorerie optimale, acces a des solutions de financements sur mesure.",Tarification avantageuse sur les operations bancaires
22,23,Assurance Flotte Automobile,Assurance,"Couvre lensemble des vehicules de lentreprise, assistance depannage et reparation.",Pas de franchise en cas de sinistre
23,24,Credit Export,Credit,"Financement des exportations, taux avantageux sur les devises.",Soutien dans le developpement a linternational
24,25,Assurance Cyber Risques,Assurance,"Protection des donnees sensibles, intervention suite a une cyberattaque.",Acces a une cellule dassistance numerique
