,id,devise_achat,devise_vente,montant_achat,montant_vente
0,1,USD,MAD,1500.5,15125.2
1,2,EUR,MAD,2000.75,22030.8
2,3,GBP,MAD,750.2,8203.5
3,4,JPY,MAD,10000.0,125000.0
4,5,CHF,MAD,300.3,3200.75
5,6,USD,MAD,800.9,8024.6
6,7,EUR,MAD,2500.25,27502.8
7,8,GBP,MAD,920.4,10124.8
8,9,JPY,MAD,15000.0,187500.0
9,10,CHF,MAD,500.5,5507.2
10,11,USD,MAD,1050.25,10602.8
11,12,EUR,MAD,1750.6,19256.7
12,13,GBP,MAD,625.75,6883.2
13,14,JPY,MAD,12000.0,150000.0
14,15,CHF,MAD,220.35,2438.9
15,16,USD,MAD,950.4,9512.8
16,17,EUR,MAD,3000.0,33000.0
17,18,GBP,MAD,800.2,8812.2
18,19,JPY,MAD,17000.0,212500.0
19,20,CHF,MAD,420.7,4652.8
20,21,USD,MAD,1250.7,12602.8
21,22,EUR,MAD,2250.7,24757.7
22,23,GBP,MAD,720.8,7932.8
23,24,JPY,MAD,11000.0,137500.0
24,25,CHF,MAD,350.8,3876.6
25,26,USD,MAD,880.9,8826.4
26,27,EUR,MAD,3250.25,35752.8
27,28,GBP,MAD,820.4,9024.8
28,29,JPY,MAD,13000.0,162500.0
29,30,CHF,MAD,450.5,4957.2
30,31,USD,MAD,1450.25,14602.8
31,32,EUR,MAD,2750.6,30256.7
32,33,GBP,MAD,525.75,5783.2
33,34,JPY,MAD,14000.0,175000.0
34,35,CHF,MAD,320.35,3538.9
35,36,USD,MAD,985.4,9862.8
36,37,EUR,MAD,2900.0,31900.0
37,38,GBP,MAD,700.2,7712.2
38,39,JPY,MAD,16000.0,200000.0
39,40,CHF,MAD,400.7,4452.8
40,41,USD,MAD,1350.7,13602.8
41,42,EUR,MAD,2550.7,28057.7
42,43,GBP,MAD,760.8,8382.8
43,44,JPY,MAD,13000.0,162500.0
44,45,CHF,MAD,370.8,4096.6
45,46,USD,MAD,910.9,9126.4
46,47,EUR,MAD,3350.25,36852.8
47,48,GBP,MAD,870.4,9584.8
48,49,JPY,MAD,11000.0,137500.0
49,50,CHF,MAD,500.5,5507.2
