,id,montant_mensuel,date_debut,date_fin
0,1,3500,2020-01-15,2025-01-15
1,2,4200,2018-11-05,2023-11-05
2,3,2900,2019-09-20,2024-09-20
3,4,5000,2017-03-10,2022-03-10
4,5,3800,2016-08-24,2021-08-24
5,6,4500,2019-02-13,2024-02-13
6,7,3100,2018-07-30,2023-07-30
7,8,2800,2020-05-02,2025-05-02
8,9,3800,2017-12-19,2022-12-19
9,10,4200,2019-10-17,2024-10-17
10,11,3200,2018-04-28,2023-04-28
11,12,4900,2017-06-14,2022-06-14
12,13,2700,2019-01-03,2024-01-03
13,14,4300,2016-10-10,2021-10-10
14,15,3800,2018-02-27,2023-02-27
15,16,2600,2017-09-05,2022-09-05
16,17,4700,2019-03-18,2024-03-18
17,18,2900,2020-01-21,2025-01-21
18,19,4100,2017-11-23,2022-11-23
19,20,3300,2018-08-06,2023-08-06
20,21,3500,2016-05-28,2021-05-28
21,22,2600,2019-08-14,2024-08-14
22,23,4800,2018-12-01,2023-12-01
23,24,3700,2018-02-14,2023-02-14
24,25,3000,2017-07-20,2022-07-20
25,26,3900,2019-04-13,2024-04-13
26,27,3200,2016-11-09,2021-11-09
27,28,4700,2018-09-27,2023-09-27
28,29,2800,2020-02-03,2025-02-03
29,30,4100,2017-10-12,2022-10-12
30,31,3300,2016-07-24,2021-07-24
31,32,4400,2019-05-18,2024-05-18
32,33,2900,2018-01-02,2023-01-02
33,34,5000,2017-08-08,2022-08-08
34,35,3600,2019-11-22,2024-11-22
35,36,3100,2016-09-03,2021-09-03
36,37,2500,2018-04-10,2023-04-10
37,38,4100,2017-01-15,2022-01-15
38,39,3400,2019-03-29,2024-03-29
39,40,2800,2016-11-13,2021-11-13
40,41,4800,2018-06-06,2023-06-06
41,42,3700,2017-04-14,2022-04-14
42,43,3000,2019-01-21,2024-01-21
43,44,3900,2016-10-18,2021-10-18
44,45,3200,2018-07-31,2023-07-31
45,46,4600,2017-05-01,2022-05-01
46,47,2700,2019-02-08,2024-02-08
47,48,5000,2016-08-22,2021-08-22
48,49,3400,2018-10-11,2023-10-11
49,50,4300,2017-12-02,2022-12-02
