,id,nom_produit,taux_interet,montant_minimum,duree_plafond
0,1,Compte Cheque,0.4,1000,0
1,2,Epargne Enfant,1.8,500,18
2,3,Pret Immobilier,5.5,100000,360
3,4,Carte Bancaire,0.0,0,0
4,5,Credit Auto,4.2,50000,72
5,6,Assurance Vie,2.5,10000,0
6,7,Pret Etudiant,3.1,2000,120
7,8,Compte Epargne,2.0,200,0
8,9,Pret Personnel,6.0,5000,60
9,10,Carte Prepayee,0.0,0,0
10,11,Credit Renouvelable,12.5,3000,36
11,12,Plan Retraite,3.8,100,0
12,13,Pret Personnel Etudes,4.9,10000,84
13,14,Compte Jeune,1.2,50,0
14,15,Credit Travaux,4.7,20000,60
15,16,Compte Joint,0.5,500,0
16,17,Assurance Sante,1.5,2500,0
17,18,Credit Mariage,7.2,15000,48
18,19,Assurance Habitation,1.9,1000,0
19,20,Banque a Distance,0.0,0,0
20,21,Credit Equipement,5.4,10000,72
21,22,Assurance Voiture,3.0,1500,0
22,23,Pret Agricole,4.1,20000,120
23,24,Pret Hypothecaire,5.8,50000,360
24,25,Assurance Deces,2.2,5000,0
25,26,Credit Voyage,6.5,3000,36
26,27,Compte Professionnel,0.0,0,0
27,28,Gestion de Patrimoine,0.0,0,0
28,29,Credit Energies Renouvelables,3.8,5000,84
29,30,Assurance Voyage,2.5,1000,0
30,31,Pret Auto,4.0,15000,60
31,32,Assurance Retraite,1.7,2000,0
32,33,Credit Professionnel,5.2,25000,72
33,34,Assurance Education,1.9,500,0
34,35,Compte Decouverte,1.0,300,0
35,36,Credit Particulier,6.8,5000,36
36,37,Assurance Pret,2.3,10000,0
37,38,Pret Consolidation,7.5,10000,60
38,39,Assurance Maladie,2.8,1500,0
39,40,Credit Cours,5.0,2000,48
40,41,Assurance Complementaire Sante,2.1,800,0
41,42,Pret Personnels Vacances,6.2,3000,36
42,43,Compte Entreprise,0.0,0,0
43,44,Assurance Incapacite Travail,1.4,2500,0
44,45,Credit Etudes,3.5,10000,84
45,46,Assurance Obseques,1.8,5000,0
46,47,Pret Scolaire,4.3,2000,48
47,48,Assurance Maternite,2.0,500,0
48,49,Credit Formation,4.6,5000,72
49,50,Assurance Perte Emploi,1.6,2000,0
