,numero_client,type_carte,date_demande,etat_demande
0,12457896,Carte Visa,2022-01-05,En attente
1,36521487,Carte MasterCard,2021-12-18,En cours de traitement
2,98563214,Carte Gold,2022-01-10,Refusee
3,74125896,Carte Classic,2021-12-30,Validee
4,63258741,Carte Electron,2022-01-02,En cours de traitement
5,32548796,Carte Platinum,2022-01-15,En attente
6,87412563,Carte Virtuelle,2022-01-08,Validee
7,45789658,Carte Prepayee,2022-01-20,Refusee
8,65231487,Carte Platinum,2022-01-25,En cours de traitement
9,32587496,Carte Electron,2022-01-13,En attente
10,12356987,Carte Visa,2022-01-28,En cours de traitement
11,78963214,Carte Prepaid,2022-02-02,En attente
12,98563247,Carte Classic,2022-02-05,Validee
13,63214789,Carte Gold,2022-02-08,Refusee
14,12357896,Carte Visa,2022-02-15,En cours de traitement
15,36521489,Carte MasterCard,2022-02-18,Validee
16,98563218,Carte Gold,2022-02-23,Refusee
17,74125890,Carte Classic,2022-02-28,En attente
18,63258743,Carte Electron,2022-03-03,Validee
19,32548798,Carte Platinum,2022-03-08,En cours de traitement
20,87412561,Carte Virtuelle,2022-03-12,En attente
21,45789650,Carte Prepayee,2022-03-18,Validee
22,65231481,Carte Platinum,2022-03-21,Refusee
23,32587490,Carte Electron,2022-04-05,En attente
24,12356981,Carte Visa,2022-04-08,En cours de traitement
25,78963210,Carte Prepaid,2022-04-12,Validee
26,98563240,Carte Classic,2022-04-18,Refusee
27,63214780,Carte Gold,2022-04-22,En attente
28,12357892,Carte Visa,2022-04-25,Validee
29,36521480,Carte MasterCard,2022-04-30,En attente
30,98563210,Carte Gold,2022-05-05,En cours de traitement
31,74125892,Carte Classic,2022-05-08,Refusee
32,63258740,Carte Electron,2022-05-15,Validee
33,32548792,Carte Platinum,2022-05-20,Refusee
34,87412562,Carte Virtuelle,2022-05-28,En attente
35,45789652,Carte Prepayee,2022-06-02,En cours de traitement
36,65231482,Carte Platinum,2022-06-05,Validee
37,32587492,Carte Electron,2022-06-08,Refusee
38,12356982,Carte Visa,2022-06-15,En attente
39,78963212,Carte Prepaid,2022-06-18,En cours de traitement
40,98563242,Carte Classic,2022-06-22,Validee
41,63214782,Carte Gold,2022-06-25,Refusee
42,12357894,Carte Visa,2022-06-30,En attente
