,id,nom_societe,secteur_activite,adresse,telephone
0,1,Groupe OCP,Agriculture,"Chemin de lOffice, Casablanca",0522-77-45-67
1,2,BMCE Bank,Banque,"Avenue Hassan II, Rabat",0537-84-23-90
2,3,Societe Generale Maroc,Banque,"Angle Avenue Hassan II et Rue Abderrahman Kaouakeb, Casablanca",0522-45-12-34
3,4,Afriquia,Energie,"Avenue Al Fadila, Agadir",0528-76-89-10
4,5,Centrale Danone,Alimentaire,"Route de Rabat, Bouskoura",0522-23-78-99
5,6,Maroc Telecom,Telecommunications,"Avenue Annakhil, Rabat",0537-33-40-10
6,7,Attijariwafa Bank,Banque,"Avenue Mohamed V, Casablanca",0522-88-76-51
7,8,Managem,Mines,"Lotissement La Colline, Temara",0537-98-12-76
8,9,SONASID,Siderurgie,"Zone Industrielle, Nador",0536-55-76-12
9,10,Wafa Assurance,Assurance,"Avenue Hassan II, Tanger",0539-22-56-34
10,11,Holmarcom,Diversifie,"Route de la Corniche, Agadir",0528-33-67-99
11,12,CIH Bank,Banque,"Angle Avenue Hassan II et Rue Kadi Iass, Casablanca",0522-32-10-99
12,13,Inwi,Telecommunications,"Avenue des FAR, Rabat",0537-65-89-45
13,14,Douja Promotion Groupe Addoha,Immobilier,"Route de Targa, Marrakech",0524-34-78-89
14,15,Sofitel Marrakech,Tourisme,"Rue Haroun Errachid, Marrakech",0524-44-56-12
15,16,Societe des Brasseries du Maroc (SBM),Boissons,Casablanca,0522-17-99-33
16,17,Saham Assurance,Assurance,"Avenue Hassan II, Casablanca",0522-96-11-87
17,18,Banque Populaire,Banque,"Avenue Hassan II, Meknes",0535-34-56-10
18,19,Aksal Group,Distribution,"Avenue Prince Moulay Abdellah, Rabat",0537-76-23-11
19,20,Fenie Brossette,Distribution,"Avenue Mohamed V, Casablanca",0522-14-98-75
20,21,Dari Couspate,Agroalimentaire,"Zone Industrielle, Berrechid",0522-65-76-22
21,22,Sogecom,Communication,"Angle Avenue Hassan II et Rue Oued Zem, Casablanca",0522-39-88-34
22,23,HPS,Technologies,"Rue Ibnou Sina, Casablanca",0522-63-54-77
23,24,Plastima,Plasturgie,"Zone Industrielle, Mohammedia",0523-49-67-55
24,25,Jet Contractors,BTP,"Avenue Hassan II, Agadir",0528-37-65-34
25,26,Lafarge Maroc,Materiaux de construction,"Route de Maarif, Casablanca",0522-33-78-99
26,27,Bin Ajlan Group,Distribution,"Avenue des FAR, Tanger",0539-87-23-45
27,28,COPAG,Agroalimentaire,El Jadida,0523-77-44-67
28,29,RAM - Royal Air Maroc,Transport aerien,"Aeroport Mohammed V, Nouaceur",0522-53-99-10
29,30,Vinci Energies Maroc,Energie,"Rue Oulad Ziane, Casablanca",0522-54-78-90
30,31,Aigle Azur Maroc,Transport aerien,"Angle Avenue Zerktouni et Boulevard dAnfa, Casablanca",0522-11-67-89
31,32,Ynnova,Ingenierie et conseil,"Avenue Hassan II, Agadir",0528-45-76-22
32,33,Coca-Cola Maroc,Boissons,"Rue El Fouah, Casablanca",0522-44-34-56
33,34,Involys,Immobilier,"Rue Ibn Battouta, Rabat",0537-57-34-65
34,35,Vivendi Maroc,Medias,"Avenue Hassan II, Casablanca",0522-23-76-89
35,36,Amendis,Eau et assainissement,"Avenue Abdelkarim El Khattabi, Tanger",0539-32-87-76
36,37,Dell Maroc,Technologies,"Avenue Hassan II, Casablanca",0522-78-45-67
37,38,Jumia Maroc,E-commerce,"Boulevard Al Massira Al Khadra, Casablanca",0522-11-76-45
38,39,Colas Maroc,BTP,"Parc Industriel Sidi Bernoussi, Casablanca",0522-32-67-12
39,40,Capgemini Maroc,Conseil et services informatiques,"Rue Al Ahdath Al Maghribiya, Casablanca",0522-76-45-89
40,41,Sita Oxi Maroc,Environnement,"Rue Mly Ismail, Casablanca",0522-56-89-21
41,42,DHL Express Maroc,Transport et logistique,"Aeroport Mohammed V, Nouaceur",0522-32-98-76
42,43,MASEN - Agence marocaine pour lenergie durable,Energie renouvelable,"Boulevard de Marrakech, Rabat",0537-11-22-88
43,44,Marjane Holding,Grande distribution,"Avenue Mohammed VI, Casablanca",0522-45-67-89
44,45,Transports Pichon,Transport routier,"Avenue Mohammed V, Casablanca",0522-11-45-77
45,46,Al Omrane,Amenagement urbain,"Angle Avenue Hassan II et Boulevard Mohammed V, Casablanca",0522-65-98-32
46,47,Groupe Figeac Aero,Aeronautique,"Zone Industrielle, Casablanca",0522-32-54-87
47,48,ONCF - Office national des chemins de fer,Transport ferroviaire,"Avenue Hassan II, Rabat",0537-12-67-45
48,49,Lesieur Cristal,Agro-industrie,"Avenue Hassan II, Casablanca",0522-98-56-23
49,50,CTM - Compagnie de Transports au Maroc,Transport routier,"Avenue Hassan II, Casablanca",0522-88-45-76
