,operation,montant,date,beneficiaire,compte_source,compte_destination
0,Virement international,7500,2022-05-12,John Doe,,
1,Retrait despeces,1200,2022-04-27,Guichet Automatique,,
2,Paiement carte bancaire,850,2022-06-01,Carrefour,,
3,Prelevement,320,2022-04-08,EDF,,
4,Remboursement credit,15000,2022-05-20,Banque XYZ,,
5,Depot dargent,5000,2022-03-15,Client X,,
6,Paiement facture,300,2022-04-05,ONEE,,
7,Virement interne,4200,2022-06-10,Client Y,,
8,Echange devises,2000,2022-03-30,Agence BCP,,
9,Paiement service,700,2022-05-25,Maroc Telecom,,
10,Remboursement pret,10000,2022-03-10,Client Z,,
11,Virement permanent,1800,2022-06-18,Livret Epargne,,
12,Achat en ligne,600,2022-05-02,Amazon,,
13,Virement urgent,2800,2022-03-22,Famille,,
14,Paiement loyer,900,2022-06-05,Proprietaire,,
15,Virement societes,3600,2022-05-15,Entreprise A,,
16,Paiement impots,1300,2022-03-18,Tresor Public,,
17,Virement salaire,4500,2022-06-25,Employeur,,
18,Paiement assurance,7000,2022-05-22,Compagnie Assurances,,
19,Virement familial,1500,2022-06-30,Parent,,
20,Paiement abonnement,400,2022-03-12,Netflix,,
21,Virement achat immobilier,70000,2022-05-17,Acheteur,,
22,Gel du compte,0,2022-03-08,Client D,,
23,Paiement fournisseur,2400,2022-06-14,Fournisseur F,,
24,Emission cheque,950,2022-05-07,Beneficiaire C,,
25,Virement don association,800,2022-06-26,Association Humanitaire,,
26,Paiement taxi,30,2022-03-29,Chauffeur Taxi,,
27,Virement investissement,10000,2022-06-29,Societe Investissements,,
28,Mise a disposition fonds,20000,2022-05-28,Client E,,
29,Virement secours,500,2022-03-16,Client F,,
30,Paiement sante,120,2022-06-22,Pharmacie,,
31,Virement solidaire,300,2022-05-05,Client G,,
32,Paiement education,6000,2022-03-24,Ecole A,,
33,Achat bijoux,1800,2022-06-20,Bijouterie B,,
34,Virement pension,3200,2022-05-11,Client H,,
35,Paiement loisirs,250,2022-03-27,Cinema C,,
36,Virement offshore,15000,2022-06-24,Societe Offshore,,
37,Reglement litige,450,2022-05-19,Client I,,
38,Virement association,1000,2022-06-11,Association Culturelle,,
39,Paiement transport,70,2022-03-03,Compagnie Transport,,
40,Reglement dette,560,2022-06-09,Ami J,,
41,Virement prevoyance,1800,2022-05-29,Conjoint,,
42,Paiement sante animale,40,2022-03-25,Veterinaire,,
43,Remboursement achat,900,2022-06-15,Magasin D,,
44,Virement assistance,3000,2022-05-14,Client K,,
45,Paiement medecin,60,2022-03-13,Docteur L,,
46,Credit encaisse,3000,2022-06-13,Client M,,
47,Virement familial,1200,2022-05-21,Parent,,
