,id,code_valeur,nom_societe,cours_actuel,volume_echange
0,1,001ABC,Societe A,154.3,20000
1,2,002DEF,Banque B,75.8,15000
2,3,003GHI,Entreprise C,210.6,35000
3,4,004JKL,Banque D,125.4,18000
4,5,005MNO,Societe E,182.75,25000
5,6,006PQR,Entreprise F,95.2,14000
6,7,007STU,Banque G,110.85,21000
7,8,008VWX,Societe H,135.6,22000
8,9,009YZA,Entreprise I,185.9,19000
9,10,010BCD,Banque J,103.4,16000
10,11,011EFG,Societe K,195.25,28000
11,12,012HIJ,Entreprise L,78.6,12000
12,13,013KLM,Banque M,150.2,24000
13,14,014NOP,Societe N,165.9,26000
14,15,015PQR,Entreprise O,82.45,13000
15,16,016STU,Banque P,95.7,17000
16,17,017VWX,Societe Q,175.3,27000
17,18,018YZA,Entreprise R,88.2,15000
18,19,019BCD,Banque S,125.1,20000
19,20,020EFG,Societe T,195.7,29000
20,21,021HIJ,Entreprise U,81.1,11000
21,22,022KLM,Banque V,145.6,23000
22,23,023NOP,Societe W,160.4,25000
23,24,024PQR,Entreprise X,89.75,14000
24,25,025STU,Banque Y,130.8,19000
25,26,026ABC,Societe Z,200.15,30000
26,27,027DEF,Entreprise AA,79.3,12000
27,28,028GHI,Banque BB,135.2,20000
28,29,029JKL,Societe CC,180.65,26000
29,30,030MNO,Entreprise DD,87.9,14000
30,31,031PQR,Banque EE,120.3,18000
31,32,032STU,Societe FF,170.45,25000
32,33,033VWX,Entreprise GG,92.8,16000
33,34,034YZA,Banque HH,140.1,21000
34,35,035BCD,Societe II,185.2,27000
35,36,036EFG,Entreprise JJ,85.4,13000
36,37,037HIJ,Banque KK,130.75,20000
37,38,038KLM,Societe LL,175.9,28000
38,39,039NOP,Entreprise MM,88.6,16000
39,40,040PQR,Banque NN,125.4,21000
40,41,041STU,Societe OO,190.3,29000
41,42,042VWX,Entreprise PP,80.9,15000
42,43,043YZA,Banque QQ,132.4,22000
43,44,044BCD,Societe RR,170.8,26000
44,45,045EFG,Entreprise SS,90.1,14000
45,46,046HIJ,Banque TT,140.65,20000
46,47,047KLM,Societe UU,178.75,27000
47,48,048NOP,Entreprise VV,86.2,16000
48,49,049PQR,Banque WW,127.9,21000
49,50,050STU,Societe XX,185.4,28000
