id,date_transaction,montant_vente,commission_applicable,commission_a_payer
1,2021-04-12,15000,0.02,300.0
2,2021-04-14,20500,0.015,307.5
3,2021-04-15,18000,0.02,360.0
4,2021-04-16,25000,0.02,500.0
5,2021-04-17,30000,0.015,450.0
6,2021-04-18,28000,0.02,560.0
7,2021-04-20,21000,0.015,315.0
8,2021-04-21,27000,0.02,540.0
9,2021-04-22,32000,0.015,480.0
10,2021-04-23,19000,0.02,380.0
11,2021-04-25,23000,0.02,460.0
12,2021-04-27,26000,0.015,390.0
13,2021-04-28,18000,0.02,360.0
14,2021-04-30,17000,0.015,255.0
15,2021-05-01,20000,0.02,400.0
16,2021-05-03,34000,0.025,850.0
17,2021-05-05,29000,0.02,580.0
18,2021-05-06,18000,0.015,270.0
19,2021-05-08,22000,0.02,440.0
20,2021-05-09,28000,0.025,700.0
21,2021-05-11,21000,0.02,420.0
22,2021-05-13,19000,0.015,285.0
23,2021-05-14,26000,0.02,520.0
24,2021-05-16,33000,0.025,825.0
25,2021-05-17,31000,0.02,620.0
26,2021-05-18,24000,0.02,480.0
27,2021-05-20,26000,0.015,390.0
28,2021-05-21,20000,0.02,400.0
29,2021-05-23,30000,0.02,600.0
30,2021-05-24,28000,0.015,420.0
31,2021-05-26,25000,0.02,500.0
32,2021-05-28,19000,0.015,285.0
33,2021-05-29,22000,0.02,440.0
34,2021-05-30,27000,0.02,540.0
35,2021-06-01,32000,0.015,480.0
36,2021-06-03,30000,0.02,600.0
37,2021-06-05,26000,0.025,650.0
38,2021-06-06,23000,0.02,460.0
39,2021-06-08,27000,0.015,405.0
40,2021-06-09,31000,0.02,620.0
41,2021-06-11,35000,0.02,700.0
42,2021-06-13,32000,0.015,480.0
43,2021-06-14,28000,0.02,560.0
44,2021-06-16,24000,0.025,600.0
45,2021-06-17,29000,0.02,580.0
46,2021-06-18,27000,0.02,540.0
47,2021-06-20,26000,0.015,390.0
48,2021-06-21,22000,0.02,440.0
49,2021-06-23,18000,0.025,450.0
50,2021-06-24,21000,0.02,420.0
