id,produit,type,conditions,avantages
1,Prêt automobile,Crédit,Taux d'intérêt fixe de 5% pour une durée de remboursement de 5 ans.,Pas de frais de dossier
2,Carte bancaire Internationale,Carte,"Frais annuels de 200 DH, plafond de retrait mensuel de 20 000 DH.",Assurance voyage incluse
3,Assurance habitation,Assurance,"Couverture incendie, vol, et dégâts des eaux.",Assistance 24h/24
4,Compte Épargne Jeune,Compte,"Taux d'intérêt attractif de 3%, accessible aux moins de 25 ans.",Exonération de frais de tenue de compte
5,Prêt Immobilier,Crédit,"Durée de remboursement jusqu'à 25 ans, taux fixe de 4.5%.",Possibilité de report d'échéances
6,Assurance Auto,Assurance,"Couverture tous risques, assistance dépannage et remorquage.",Véhicule de remplacement en cas de panne
7,Livret d'Épargne,Compte,"Disponible à partir de 500 DH, taux d'intérêt progressif.",Possibilité de retrait à tout moment
8,Prêt Étudiant,Crédit,"Pas de garantie parentale requise, taux avantageux pour les étudiants.",Report de remboursement après l'obtention du diplôme
9,Sécurité Internet,Service,Système de protection contre la fraude en ligne.,Accès à des outils de prévention
10,Compte Courant Classique,Compte,Frais de tenue de compte de 20 DH par mois.,Accès aux services bancaires en ligne
11,Assurance Santé,Assurance,"Couverture hospitalisation, médecine générale et spécialiste.",Remboursement rapide des frais médicaux
12,Prêt Personnel,Crédit,"Montant jusqu'à 100 000 DH, remboursement mensuel fixe.",Pas de justificatif d'utilisation des fonds
13,Assurance Voyage,Assurance,"Couverture mondiale, rapatriement médical inclus.",Indemnités en cas de retard de vol
14,Livret Jeune,Compte,"Réservé aux moins de 25 ans, taux d'intérêt bonifié.",Accès à des offres jeunesse et réductions
15,Crédit Renouvelable,Crédit,"Montant disponible jusqu'à 50 000 DH, remboursement flexible.",Possibilité de reconstituer le crédit remboursé
16,Assurance Emprunteur,Assurance,Garantit le remboursement du crédit en cas de décès ou invalidité.,Prise en charge des mensualités en cas de sinistre
17,Carte Prépayée,Carte,"Rechargeable, sans engagement avec plafond de dépenses.",Contrôle des dépenses et sécurité en ligne
18,Épargne Retraite,Compte,Versements mensuels pour constituer une rente à la retraite.,Déduction fiscale sur les cotisations
19,Prêt Travaux,Crédit,"Financer des travaux jusqu'à 300 000 DH, déblocage progressif des fonds.",Frais de dossier offerts
20,Assurance Multirisque Professionnelle,Assurance,"Protège votre activité des risques liés au local, au matériel et à la responsabilité civile.",Indemnisation rapide en cas de sinistre
21,Crédit Bail Équipement,Crédit,"Financement pour l'équipement professionnel, loyer mensuel fixe.",Possibilité d'acquérir le bien à la fin du contrat
