date,total_actifs,total_passifs,resultat_net
2022-03-31,25000000 MAD,15000000 MAD,5000000 MAD
2021-12-31,24000000 MAD,14500000 MAD,4800000 MAD
2021-09-30,23000000 MAD,14000000 MAD,4700000 MAD
2021-06-30,22000000 MAD,13500000 MAD,4600000 MAD
2021-03-31,21000000 MAD,13000000 MAD,4500000 MAD
2020-12-31,20000000 MAD,12500000 MAD,4400000 MAD
2020-09-30,19000000 MAD,12000000 MAD,4300000 MAD
2020-06-30,18000000 MAD,11500000 MAD,4200000 MAD
2020-03-31,17000000 MAD,11000000 MAD,4100000 MAD
2019-12-31,16000000 MAD,10500000 MAD,4000000 MAD
2019-09-30,15000000 MAD,10000000 MAD,3900000 MAD
2019-06-30,14000000 MAD,9500000 MAD,3800000 MAD
2019-03-31,13000000 MAD,9000000 MAD,3700000 MAD
2018-12-31,12000000 MAD,8500000 MAD,3600000 MAD
2018-09-30,11000000 MAD,8000000 MAD,3500000 MAD
2018-06-30,10000000 MAD,7500000 MAD,3400000 MAD
2018-03-31,9000000 MAD,7000000 MAD,3300000 MAD
2017-12-31,8000000 MAD,6500000 MAD,3200000 MAD
2017-09-30,7000000 MAD,6000000 MAD,3100000 MAD
2017-06-30,6000000 MAD,5500000 MAD,3000000 MAD
2017-03-31,5000000 MAD,5000000 MAD,2900000 MAD
2016-12-31,4000000 MAD,4500000 MAD,2800000 MAD
2016-09-30,3000000 MAD,4000000 MAD,2700000 MAD
2016-06-30,2000000 MAD,3500000 MAD,2600000 MAD
2016-03-31,1000000 MAD,3000000 MAD,2500000 MAD
2015-12-31,900000 MAD,2500000 MAD,2400000 MAD
2015-09-30,800000 MAD,2000000 MAD,2300000 MAD
2015-06-30,700000 MAD,1500000 MAD,2200000 MAD
2015-03-31,600000 MAD,1000000 MAD,2100000 MAD
2014-12-31,500000 MAD,950000 MAD,2000000 MAD
2014-09-30,400000 MAD,900000 MAD,1900000 MAD
2014-06-30,300000 MAD,850000 MAD,1800000 MAD
2014-03-31,200000 MAD,800000 MAD,1700000 MAD
2013-12-31,100000 MAD,750000 MAD,1600000 MAD
2013-09-30,90000 MAD,700000 MAD,1500000 MAD
2013-06-30,80000 MAD,650000 MAD,1400000 MAD
2013-03-31,70000 MAD,600000 MAD,1300000 MAD
2012-12-31,60000 MAD,550000 MAD,1200000 MAD
2012-09-30,50000 MAD,500000 MAD,1100000 MAD
2012-06-30,40000 MAD,450000 MAD,1000000 MAD
2012-03-31,30000 MAD,400000 MAD,900000 MAD
2011-12-31,20000 MAD,350000 MAD,800000 MAD
2011-09-30,10000 MAD,300000 MAD,700000 MAD
2011-06-30,5000 MAD,250000 MAD,600000 MAD
2011-03-31,2000 MAD,200000 MAD,500000 MAD
2010-12-31,1000 MAD,150000 MAD,400000 MAD
