,Table_Name,Column_Name,Tag
0,valeurs_mobilieres,id,Public
1,valeurs_mobilieres,code_valeur,Restreint
2,valeurs_mobilieres,nom_societe,Confidentiel
3,valeurs_mobilieres,cours_actuel,Restreint
4,valeurs_mobilieres,volume_echange,Restreint
5,alertes_transactions,id,Public
6,alertes_transactions,type_alerte,Restreint
7,alertes_transactions,date_creation,Restreint
8,alertes_transactions,statut,Restreint
9,alertes_transactions,priorite,Restreint
10,analyse_portefeuille,id,Public
11,analyse_portefeuille,type_instrument,Restreint
12,analyse_portefeuille,valeur_actuelle,Secret
13,analyse_portefeuille,poids_portefeuille,Restreint
14,analyse_portefeuille,date_evaluation,Restreint
15,analyse_risque,id,Public
16,analyse_risque,type_risque,Restreint
17,analyse_risque,description,Confidentiel
18,analyse_risque,niveau,Restreint
19,analyse_risque,date_creation,Restreint
20,assurances_biens,id,Public
21,assurances_biens,type_bien,Confidentiel
22,assurances_biens,valeur_assuree,Secret
23,assurances_biens,prime_annuelle,Confidentiel
24,cartes_virtuelles,id,Public
25,cartes_virtuelles,numero_carte,Secret
26,cartes_virtuelles,date_expiration,Confidentiel
27,cartes_virtuelles,plafond_quotidien,Confidentiel
28,cartes_virtuelles,type_carte,Restreint
29,cautions_bancaires,id,Public
30,cautions_bancaires,num_contrat,Restreint
31,cautions_bancaires,beneficiaire,Confidentiel
32,cautions_bancaires,montant,Secret
33,cautions_bancaires,type_caution,Restreint
34,cheques_encaisses,id,Public
35,cheques_encaisses,montant,Secret
36,cheques_encaisses,date_encaissement,Restreint
37,cheques_encaisses,nom_beneficiaire,Confidentiel
38,cheques_encaisses,numero_compte,Très Secret
39,clients_particuliers,id,Public
40,clients_particuliers,nom,Très Secret
41,clients_particuliers,prenom,Très Secret
42,clients_particuliers,cin,Secret
43,clients_particuliers,adresse,Très Secret
44,clients_professionnels,id,Public
45,clients_professionnels,entreprise,Confidentiel
46,clients_professionnels,secteur_activite,Confidentiel
47,clients_professionnels,adresse,Confidentiel
48,clients_professionnels,telephone,Confidentiel
49,commission_transactions,id,Public
50,commission_transactions,type_transaction,Restreint
51,commission_transactions,commission,Confidentiel
52,comptes_joint,id,Public
53,comptes_joint,titulaire_1,Très Secret
54,comptes_joint,titulaire_2,Très Secret
55,comptes_joint,solde,Secret
56,comptes_joint,date_ouverture,Restreint
57,courses_devise,id,Public
58,courses_devise,devise_achetee,Restreint
59,courses_devise,devise_vendue,Restreint
60,courses_devise,montant_achat,Confidentiel
61,courses_devise,montant_vente,Confidentiel
62,emprunts_credits,id,Public
63,emprunts_credits,montant,Secret
64,emprunts_credits,date_emprunt,Restreint
65,emprunts_credits,taux_interet,Confidentiel
66,emprunts_credits,duree_remboursement,Restreint
67,fiscalite_comptes,id,Public
68,fiscalite_comptes,type_avantage,Restreint
69,fiscalite_comptes,taux_imposition,Confidentiel
70,fiscalite_comptes,date_application,Restreint
71,fiscalite_comptes,description,Restreint
72,gestion_credits,id,Public
73,gestion_credits,montant_disponible,Secret
74,gestion_credits,taux_interet,Confidentiel
75,gestion_credits,duree_remboursement,Restreint
76,gestion_credits,date_octroi,Restreint
77,gestionnaires_clients,id,Public
78,gestionnaires_clients,nom_agence,Restreint
79,gestionnaires_clients,nom_gestionnaire,Confidentiel
80,gestionnaires_clients,telephone,Confidentiel
81,gestionnaires_clients,email,Confidentiel
82,interets_credits,id,Public
83,interets_credits,montant,Confidentiel
84,interets_credits,date_operation,Restreint
85,interets_credits,numero_compte,Très Secret
86,livraisons_cartes,id,Public
87,livraisons_cartes,numero_carte,Secret
88,livraisons_cartes,date_livraison,Restreint
89,livraisons_cartes,adresse_livraison,Très Secret
90,livraisons_cartes,destinataire,Très Secret
91,offres_speciales,id,Public
92,offres_speciales,type_offre,Restreint
93,offres_speciales,description,Restreint
94,offres_speciales,date_debut,Restreint
95,offres_speciales,date_fin,Restreint
96,operations_change,id,Public
97,operations_change,devise_achat,Restreint
98,operations_change,devise_vente,Restreint
99,operations_change,montant_achat,Confidentiel
100,operations_change,montant_vente,Confidentiel
101,cautions_bancaires,beneficiaire,Très Secret
102,reliquat_commissions,id,Public
103,reliquat_commissions,numero_compte,Très Secret
104,reliquat_commissions,montant_commission,Confidentiel
